symbol	factor	F1_Liver	F2	F3_Exocrine	F4_CellCycle	F5_ActivatedStroma	F6_BasalLike	F7_Immune	F8_Classical	F9_Lung	F10	F11_Muscle	F12_Endocrine	F13_NormalStroma	F14
ASCC2	2	0.3074	0.9584	0.2484	0.4167	0.3761	0.4981	0.4318	0.5523	0.3904	0.1241	0.7444	0.4883	0.1515	0.5348
ASCC3	10	0.9155	0.9148	0.2474	0.8058	0.5289	0.7633	0.6155	0.4119	0.5868	1.7944	0.451	0.7862	0.6791	0.4398
ASCL1	14	0.1587	0.5767	0.2032	0.1788	0	0.0545	0.1114	0.0848	0.0999	0.0575	0.1568	0.4033	0.1411	0.6825
ASCL2	10	0.43	0.5705	0.2294	0.127	0	0.1556	0.3884	0.5124	0.5288	0.7253	0.1729	0.6347	0.3756	0.1865
ASCL3	14	0.104	0.1901	0.2493	0.1743	0.1719	0.2027	0.0429	0.1225	0.1603	0.1407	0.0783	0.2456	0.0975	0.3103
ASCL5	14	0.4729	0.9163	0.2858	0.0027	0.0823	0.2872	0.3903	0.648	0.3818	0.5995	0.5003	0.5283	0.34	2.5245
ASF1A	4	0.3671	0.2497	0.5919	1.0093	0.2641	0.3787	0.5521	0.1979	0.4262	0	0.6425	0.4035	0.4912	0.3585
ASF1B	14	0.4038	1.0764	0.4065	0.8291	0.3232	0.694	0.386	0.8189	0.4146	0.5839	0.5445	0.4247	0.2812	1.6973
ASGR1	1	4.2718	0.7984	0.483	0.8234	1.1021	0.7348	1.1124	0.3799	1.0781	1.705	0.726	0.4975	0.72	1.0559
ASGR2	1	4.25	0.9611	0.7502	0.2984	0.173	0.6128	0.6413	0.1852	0.7515	1.2432	0.2796	0.2572	0.4411	0.7453
ASH1L	10	0.3305	0.6952	0.2508	0.1224	0.0057	0.5036	0.3005	0.5123	0.3176	1.7828	0.2573	0.478	0.6545	0.3703
ASH2L	14	0.6625	0.9405	0.8592	0.9531	0.8476	0.9697	0.9236	0.9075	0.8912	0.468	0.8748	1.0437	1.1228	1.6487
ASIP	14	0.274	0.7786	0.4043	0	0.2092	0.1814	0.0467	0.452	0.1722	0.296	0.3273	0.4035	0.1218	1.5551
ASL	1	1.8929	1.05	0.6264	0.9123	0.5278	0.9761	0.3755	1.6903	0.8262	0.1024	0.3699	0.8052	0.6037	0.7958
ASMT	7	0.0343	0	0.4047	0.3452	0.2038	0.2864	0.7086	0.2159	0.0051	0.2783	0.1485	0.1284	0.2334	0
ASMTL	14	0.7344	0.93	0.7203	0.6763	0.9738	0.2415	0.8122	0.6604	0.6148	0.6093	0.6925	0.8671	1.0888	1.2134
ASNA1	4	0.8208	0.9377	0.6895	1.103	0.5943	0.5357	0.4598	0.5606	0.6386	0	0.8572	0.4855	0.4066	0.6332
ASNS	10	0.2668	0.974	1.2118	0.9196	0	0.9502	0.85	0.6363	0.7911	1.422	0.735	0.2273	0.5719	1.0831
ASNSD1	11	1.093	1.1316	1.0861	1.5522	0.7859	0.9195	1.0954	0.8059	1.0962	1.0432	1.6589	0.9537	1.376	1.0893
ASPA	13	0.4672	0	0.3308	0.1565	0.2744	0	0.5701	0.1646	0.3357	0	0.5274	0.7614	1.8837	0.0255
ASPG	1	3.189	0.3508	0	0.1378	0.0797	0.4366	0	0.3785	0.3455	0.2994	0.1333	0.2988	0.2378	0.8886
ASPH	6	0.5357	0.993	0.387	1.2248	0.6797	1.6781	0.115	1.0092	0.4906	1.1911	0.7013	0.4522	0.9944	0.6166
ASPHD1	8	0.4453	1.6219	0.4881	1.0444	0.9301	1.0498	0	1.8316	0.3306	1.7966	0.4625	1.4977	0.1579	1.2418
ASPHD2	8	0	0.4991	0	0.3194	0.7545	0.6097	0.8767	1.6351	0.2124	0.4871	0.2607	0.53	0	0.4597
ASPM	4	0	0.5784	0	1.513	0.3397	1.358	0.5852	0.5047	0	1.2567	0.121	0	0	0.2059
ASPN	5	1.2582	0	1.0693	0	3.7162	0	0.1638	0.5026	0.0777	0	0.468	1.5441	1.8556	0
ASPRV1	7	0.4884	0.1636	0.162	0.4239	0.5302	0.2142	1.0971	0.8784	0.8489	0.8869	0.8955	0.9723	0.9086	0.3576
ASPSCR1	2	0.4446	0.9017	0.5205	0.4965	0.2694	0.3466	0.2476	0.4404	0.4692	0.4699	0.5351	0.4287	0.2381	0.4567
ASRGL1	12	0.8733	0.7564	0.8762	0.7015	0.4292	0	0.7904	0.9378	1.5094	0.9891	0.6839	1.6258	0.6689	0.7191
ASS1	1	1.8047	0.5896	0.5507	0.5776	0.457	0.8116	0.1731	1.4129	0.666	0	0.9578	0.6186	0.67	1.1435
ASTE1	4	0.2332	0.013	0.4869	0.814	0.241	0.428	0.8106	0.4882	0.3246	0.0096	0.3181	0.5464	0.3584	0.1939
ASTL	14	0.2286	0.6905	0.1661	0.1891	0.2506	0.2522	0.1285	0.2752	0.1532	0.1706	0.3409	0.154	0.1927	0.8003
ASTN1	12	0.163	0.0648	0.178	0.2513	0.0731	0.1578	0.3914	0.0444	0.1249	0.1577	0.1975	0.447	0.3502	0.236
ASTN2	14	0.5311	0.8559	0.2386	0.5753	0.9576	0.4454	0.6167	0.4525	0.66	0.9882	0.7065	0.9375	1.2776	1.671
ASXL1	10	0.4957	0.8384	0.8321	0.9616	0.5623	0.6557	0.9189	0.491	0.6188	0.9735	0.715	0.6088	0.669	0.9708
ASXL2	4	0.4286	0.7354	0.6136	1.0643	0.8503	0.9483	1.0265	0.741	0.663	0.4842	0.6238	0.714	0.8204	0.2708
ASXL3	12	0.1794	0.0479	0.2616	0.1648	0.1524	0.0182	0.1298	0	0.1665	0.1974	0.0706	0.6108	0.3774	0.0021
ASZ1	3	0.1233	0.1278	0.1911	0.1048	0	0.0236	0.0975	0.0556	0.1343	0	0.07	0	0.0427	0.0978
ATAD1	4	0.7682	0.6748	0.8905	1.3815	0.5207	1.3624	0.6897	0.6011	0.7336	0.727	0.9966	0.6418	0.8301	0.5641
ATAD2	4	0.2684	0.0388	0.0788	1.6108	0.3673	0.9006	0.4687	0.2244	0.055	0.1561	0.4269	0.1195	0.1877	0.3858
ATAD2B	7	0.8452	0.2309	0.5966	0.7678	0.6579	0.6071	1.1502	0.6866	0.7218	0.7705	0.5665	0.6841	0.6395	0.1375
ATAD3A	2	0.6802	1.8831	0.6141	0.8772	0.4545	0.6594	0.4646	0.7019	0.5919	1.5169	0.7246	0.4881	0.3718	0.9976
ATAD3B	10	0.2496	0.5196	0.3468	0.5178	0.1013	0.3893	0.3674	0.2267	0.2426	0.756	0.3047	0.1218	0	0.2084
ATAD3C	2	0.7669	2.9036	0.9961	0.234	0.2663	0.4087	0.3968	0.6801	0.6005	0.9646	0.6206	0.6919	0.8703	1.1717
ATAD4	8	0.4848	0	2.479	0	0.7794	1.4485	0	5.1799	1.8048	0.4914	0	2.0251	0.6327	0
ATAD5	4	0.0367	0.1684	0.1497	0.898	0.1916	0.4772	0.3203	0.076	0.0069	0.6896	0.0728	0	0	0
ATCAY	14	0.247	0.501	0.3662	0.1961	0.0009	0.216	0.1076	0.173	0.1075	0.5122	0.2734	0.7988	0.379	0.8124
ATE1	4	0.4311	0	0.2854	1.0709	0.2835	0.7283	0.3455	0.2725	0.1758	0.1128	0.6947	0.0893	0.3266	0
ATF1	11	0.5434	0.1455	0.6099	1.0677	0.4799	0.9116	0.6993	0.408	0.666	0.1911	1.134	0.565	0.6019	1.0282
ATF2	2	0.544	0.7463	0.5316	0.7192	0.3721	0.6465	0.5393	0.3999	0.5564	0.3392	0.5665	0.5225	0.5581	0.2843
ATF3	13	1.1366	0.2172	1.0147	0.5039	0.8354	0.5633	0.6211	0.9135	1.0335	0.3727	1.2838	0.4706	1.9308	0.6278
ATF4	2	1.2705	1.967	1.5812	1.5407	0.7801	1.4599	1.6328	1.3266	1.5278	1.874	1.9396	0.958	1.5052	1.3422
ATF4C	11	0.7295	0.9856	1.2428	1.1797	0.3032	1.0915	1.1354	0.581	0.8764	0.6279	1.4503	0.0913	1.0539	0.2801
ATF5	1	3.1092	0.9419	0.2707	0.6914	0.449	0.3244	0.5355	0.1849	0.2504	0.8671	0.7232	0.3051	0.2862	0.3323
ATF6	14	1.0877	1.2115	0.9037	1.2018	1.0083	0.9595	0.7833	0.8767	1.0605	0.6084	1.0439	0.8967	0.8678	1.4526
ATF6B	14	0.4273	0.9746	0.3782	0.1817	0.1561	0.3698	0.5165	0.5009	0.4565	0.7697	0.4329	0.4512	0.1839	1.4877
ATF7	4	0.1762	0	0.552	0.6816	0.292	0.5412	0.1227	0.3911	0.3162	0	0.4467	0.1841	0.5088	0.1307
ATF7IP	2	0.1646	0.7259	0.0629	0.4699	0.2316	0.2403	0.3854	0.1986	0.1899	0.6019	0.3672	0.214	0.101	0.2247
ATF7IP2	10	0.7565	0.3081	0.6322	0.3217	0	0.5371	0.7914	0.5517	0.3841	0.9438	0.2196	0.3258	0.228	0.3356
ATG10	4	0.2941	0.2662	0.7214	0.9175	0.2021	0.4964	0.205	0.2659	0.4695	0	0.5594	0.336	0.5356	0
ATG12	4	0.9298	0.392	0.8827	1.6312	0.8984	1.5685	1.0462	0.5454	0.9987	1.023	1.2838	0.5256	0.9114	1.4805
ATG16L1	10	0.5144	0.5408	0.2907	0.4477	0.2484	0.7394	0.5872	0.6203	0.3766	1.0348	0.4975	0.2826	0.3849	0.5083
ATG16L2	7	0.9204	0.1605	1.2974	0.988	0.793	0.9528	2.8778	0.6295	1.6552	2.3792	0.5052	0.8082	0.5189	0.1757
ATG2A	2	0.805	0.8115	0.3544	0.4395	0.2745	0.5485	0.5399	0.6009	0.4334	0.4585	0.4896	0.4238	0.229	0.1403
ATG2B	1	0.625	0.3669	0.5838	0.5083	0.2302	0.2908	0.4861	0.2117	0.4082	0.4397	0.4944	0.2648	0.4683	0.1815
ATG3	4	0.5077	0.6516	0.6789	0.9568	0.3673	0.5592	0.5552	0.4243	0.546	0.3612	0.6539	0.3401	0.4691	0.8665
ATG4A	14	1.0708	0.6705	1.0265	0.7629	0.3792	0.5362	0.6162	0.9511	0.8425	0.611	0.9988	0.6601	0.8218	1.429
ATG4B	10	0.7429	0.4568	0.8808	1.0639	0.4474	1.03	1.0179	0.8574	0.715	1.5301	0.8788	0.7404	0.628	0.4684
ATG4C	4	0.6561	0.2711	0.7754	1.0789	0.5204	0.5354	1.024	0.0969	0.6549	0	0.7214	0.4407	0.746	0.2306
ATG4D	10	0.461	0.5295	0.6282	0.6009	0	0.571	0.3305	0.5635	0.4613	1.0072	0.9425	0.1379	0.2322	0
ATG5	4	0.7938	0.4073	0.8808	1.0778	0.4216	0.9948	0.7227	0.5772	0.8075	0.2669	0.9947	0.5468	0.8777	0.5483
ATG7	5	0.3321	0.5562	0.2856	0.6335	0.7449	0.5478	0.527	0.3492	0.6309	0.5937	0.5167	0.49	0.4681	0.535
ATG9A	2	0.6582	1.3091	0.3746	0.6742	0.5086	0.6829	0.4637	0.9258	0.6744	0.7358	1.2835	0.7088	0.5327	0.8699
ATG9B	14	0.1318	0.3228	0.0682	0.1292	0.0907	0.3758	0.1316	0.3835	0.1037	0.329	0.2054	0.0697	0.0979	0.4077
ATHL1	10	0.4195	0.6405	1.7679	0.2147	0	1.1119	1.8339	0.8922	1.1316	1.8984	0.2768	0.1041	0.1487	0.2341
ATIC	14	0.8122	1.0873	0.6979	1.6749	1.0642	1.3059	0.9131	1.0329	0.7265	1.2727	1.1868	0.9711	0.8889	1.8813
ATL1	13	0	0.3512	0.9984	0.5905	1.1658	0.5553	0.1485	0.4498	0.6306	0.0082	0.3341	1.0459	1.7884	0.3754
ATL2	6	0.8455	0.5807	0.5443	0.8189	0.2089	0.8804	0.5714	0.4075	0.4783	0.673	0.6715	0.2718	0.5793	0.6305
ATL3	4	0.7352	0.7305	0.5359	1.6803	1.0832	1.1971	0.3052	0.6382	0.5192	0.6033	0.5625	0.2402	0.6923	1.293
ATM	7	0.3129	0.3233	0.6965	0.6032	0.1792	0.5462	1.1121	0.0521	0.1863	0.5339	0.1778	0.285	0.272	0.0692
ATMIN	11	0.6023	0.4144	0.6535	0.7416	0.4798	0.7558	0.5055	0.5067	0.4359	0.459	0.7753	0.6252	0.7237	0.6449
ATN1	2	0.6442	1.7134	0.8036	0.5409	0.4152	0.5853	0.6113	0.7055	0.5675	1.1367	0.5834	0.6188	0.6519	1.4048
ATOH1	8	0.0628	0.1965	0.0389	0.1094	0	0.0812	0.0593	0.3014	0.0535	0.058	0.1051	0.0098	0.0323	0.2189
ATOH7	14	0.2289	0.5972	0.1434	0.1456	0.1634	0.101	0.0429	0.3262	0.1529	0.1449	0.2318	0.3091	0.0683	0.6214
ATOH8	9	1.408	0.7547	0.2254	0.0747	0	0	0.3572	0	1.4906	0.818	1.3259	0.1295	1.3951	0.429
ATOX1	14	1.2455	1.3923	0.2323	1.3167	1.1324	0.7445	0.7486	0.796	0.8845	1.1346	0.8145	0.9045	0.9906	1.6416
ATP10A	5	0.1035	0.2078	0.2459	0.1389	1.1504	0.1991	0.3721	0.4071	0.5555	0.483	0.1697	0.2823	0.5171	0.3995
ATP10B	8	0	0	0.3206	0.0204	0.3329	0.4152	0	2.3965	0	0	0.0772	0.8291	0.0009	0.04
ATP10D	12	0.4362	0.552	0.375	0.7228	0.8403	0.4524	0.677	0.0099	0.6877	0.5326	0.2121	0.9432	0.7803	0
ATP11A	9	0.4904	0.2946	0.3276	0.4468	0.3225	0.5952	0.2613	0.6233	0.6279	0.5197	0.3587	0.3539	0.225	0.291
ATP11B	6	0.3023	0.4942	0.2693	0.6378	0.4095	0.7182	0.396	0.6233	0.3764	0.1766	0.4118	0.2777	0.2861	0.3483
ATP11C	13	0.5796	0.1542	0.2887	0.8174	0.6968	0.3979	0.5874	0.0656	0.2611	0.371	0.2917	0.396	0.9156	0.8525
ATP12A	14	0.1798	0.2929	0.3609	0.1402	0	0.2334	0.0645	0.148	0.2778	0.0798	0.338	0.1673	0.1724	0.5478
ATP13A1	2	0.2931	1.1854	0.4346	0.7458	0.4138	0.3879	0.7016	0.6151	0.4819	0.235	0.4846	0.6852	0.2757	0.4935
ATP13A2	2	0.2316	1.1985	0.6595	0.4856	0.0915	0.3623	0.2771	0.8278	0.4328	0.2713	0.5314	0.3183	0.1999	1.0984
ATP13A3	2	0.9932	1.2217	0.5651	1.213	0.9289	0.6535	0.4583	0.5367	0.666	0.635	0.5878	0.6433	0.2768	0.4476
ATP13A4	9	0.0534	0.0039	0.292	0.1149	0.0593	0.0649	0	0.1951	0.6537	0.146	0.0462	0.2649	0.0225	0
ATP13A5	2	0.0259	0.1282	0.0151	0.021	0.04	0.0244	0	0.0295	0.041	0.1155	0.0282	0.0441	0.0332	0.0316
ATP1A1	12	0.8393	1.7639	1.7652	1.2543	1.066	1.4017	0.8351	1.8714	1.542	1.3659	1.4098	1.8811	1.0637	1.5056
ATP1A2	13	0	0	0.3526	0	0	0	0.5905	0.0697	0.5895	0.1836	3.3798	0.8347	3.8232	0
ATP1A3	12	0.5249	1.4819	1.2369	0.6619	0.7336	0.8641	0.1861	1.3477	1.0561	0.568	1.0026	1.5172	0.6085	1.2047
ATP1A4	14	0.2978	0.8308	0.8293	0.2559	0.1845	0.449	0.2192	0.7196	0.4938	0.3482	0.6148	0.6648	0.2888	0.9672
ATP1B1	8	1.4189	0.8	1.8053	1.4033	1.4788	2.0951	0.234	3.2789	1.2789	1.4184	1.8056	2.5414	0.6298	0.6888
ATP1B2	12	0.5581	1.0325	0.3058	0	0.01	0.0218	0.6519	0.1744	0.4046	0.9743	0.3621	1.2223	1.076	1.0445
ATP1B3	4	0.7898	1.5975	0.8782	2.5048	1.8775	1.8493	1.477	1.2613	1.6304	1.9368	1.3305	1.1992	1.5687	0.7565
ATP1B4	11	0.0751	0.1104	0.0422	0.021	0	0.0675	0	0.106	0.0293	0.1397	0.7345	0	0	0.0641
ATP2A1	11	0.1867	0.2244	0.1111	0.2231	0	0.1372	0.0902	0.2703	0.1202	0.2584	1.4241	0	0.0795	0.4718
ATP2A2	11	0.4491	0.6552	0.2902	0.8686	0.4679	0.5335	0.1808	0.6175	0.4578	0.255	2.4937	0.6459	0.6088	0.2949
ATP2A3	7	0.0167	0.5459	0.6238	0.2182	0.0835	0	1.033	0.7754	0.2233	0.2847	0.1249	0.6845	0.0682	0
ATP2B1	4	0.3921	0.4458	0.5726	1.0085	0.6327	0.4716	0.8533	0.45	0.3608	0.1033	0.5256	0.6051	0.5907	0
ATP2B2	1	0.3137	0.0731	0.1172	0.1293	0	0.0864	0.0643	0.0264	0.0256	0.0159	0.1028	0.014	0.0657	0.1477
ATP2B3	14	0.2679	0.5905	0.203	0.2025	0	0.2331	0.2373	0.0695	0.1612	0.5928	0.2592	0.1388	0.2564	0.7153
ATP2B4	13	0.6792	0.7361	0.3139	0.4394	0.626	0.7857	0.4451	0.6463	0.6262	0.724	0.6013	0.5903	1.0758	0.5863
ATP2C1	4	0.6776	0.7408	0.7977	1.5622	1.0708	1.2971	0.7059	0.9256	1.2048	0.2362	1.0566	1.3611	0.7887	0.7782
ATP2C2	8	0	0.3627	0.0868	0.0889	0.2022	1.4091	0	2.8736	1.2797	0.3339	0	0.7241	0.0582	0.1098
ATP4A	3	0.0297	0.3888	2.2032	0.2045	0	0	0.2611	0	0	0.1034	0.126	0	0.1372	0.4091
ATP4B	14	0.1074	0.1182	0.2159	0.1983	0.0681	0.1453	0.0925	0.0795	0.1382	0.1581	0.1533	0.0489	0.1356	0.3573
ATP5A1	4	1.3026	1.4148	1.6113	2.1433	1.2143	0.9491	1.4694	1.1469	1.3355	0.1906	2.0533	1.5895	1.5825	1.7388
ATP5B	4	0.9426	1.5751	0.9587	1.7959	0.8749	1.1495	0.9751	1.2131	1.0107	0.4718	1.7266	1.1456	1.0637	1.4633
ATP5C1	4	1.0115	0.9801	1.4012	1.7625	0.8599	1.044	0.7686	1.0263	0.8497	0.1278	1.6368	0.8144	0.8445	0.6182
ATP5D	2	1.2353	1.9577	0.9948	0.818	0.3344	0.6775	0.7645	1.1798	0.7131	1.2895	1.0972	0.701	0.9062	1.2871
ATP5E	10	1.5288	1.5468	1.35	1.9371	1.2963	1.8366	1.5952	1.402	1.4464	2.0722	1.6472	1.4856	1.5089	1.5136
ATP5F1	4	1.319	1.0216	1.4536	2.1856	0.8313	1.3681	1.2649	1.0526	1.1011	0.6348	1.6462	1.2147	1.3723	1.5539
ATP5G1	2	0.9907	1.9341	1.0505	1.7229	0.704	0.8281	0.7983	0.9919	0.9014	0.9291	1.5007	1.0508	0.785	1.1649
ATP5G2	2	1.3281	2.1324	1.4066	1.7678	1.1047	1.4472	1.4263	1.5361	1.393	1.6866	1.7157	1.4748	1.3002	2.0403
ATP5G3	14	1.0611	1.1326	0.9014	1.2794	0.7479	0.8248	0.712	1.1386	0.7937	0.5985	1.1484	0.6957	0.8492	1.5353
ATP5H	4	1.7176	1.8062	1.3937	2.1243	1.2787	1.5931	1.2244	1.4897	1.5747	1.6252	2.0485	1.448	1.4964	1.8004
ATP5I	10	1.6943	1.6767	1.5795	1.8066	0.8386	1.574	1.4	1.3911	1.3627	2.0171	1.7163	1.3635	1.5372	1.4533
ATP5J	11	1.6467	1.57	1.554	1.8828	0.9372	1.1852	1.13	1.1594	1.2731	0.6735	1.9264	1.1423	1.6055	1.3594
ATP5J2	4	1.1206	1.3672	1.3476	1.6734	0.6585	1.6221	1.0687	1.2327	0.9496	1.1444	1.5144	0.7748	0.9997	1.6144
ATP5L	4	1.2524	1.2556	1.5659	1.8313	0.7514	1.2583	1.4775	1.087	1.3242	0.9089	1.5802	1.2782	1.4751	1.313
ATP5O	4	1.7904	1.43	1.6608	2.5194	1.1868	1.7015	1.6746	1.5095	1.5676	1.415	2.1362	1.4327	1.6476	1.5786
ATP5S	4	0.6832	0.0686	1.3258	1.3733	0.3385	0.9751	0.6392	0.5811	0.5017	0.0998	1.0221	0.5492	0.9475	0.8537
ATP5SL	2	0.764	1.1823	0.6745	0.8819	0.39	0.6884	0.5535	0.7384	0.7735	0.7693	1.078	0.6138	0.6535	1.0145
ATP6AP1	2	0.7987	1.2837	0.9314	1.1993	1.0371	0.9652	0.9259	1.0217	1.2601	1.1856	0.9221	1.2297	0.7537	0.971
ATP6AP2	4	0.9273	0.8622	1.2305	2.0007	1.5404	1.1091	1.1474	0.7632	1.1941	0.3156	0.9357	1.2777	1.1628	0.3072
ATP6V0A1	12	1.2427	1.3251	1.0517	1.5481	0.9975	0.9412	1.4127	1.3301	1.3539	2.0113	1.6308	2.078	0.9421	1.0723
ATP6V0A2	4	0.4585	0.4249	0.8166	1.1156	0.5784	0.6926	0.8732	0.4819	0.5622	0.1949	0.6664	0.3173	0.4968	0.6882
ATP6V0A4	6	0.2666	0.4265	0.1966	0.355	0	0.7982	0.0555	0	0.5855	0.2345	0.1491	0.2044	0.088	0.1824
ATP6V0B	2	1.209	1.9395	1.2178	1.6421	0.9123	1.2158	1.0689	1.2047	1.3152	1.154	1.2114	1.171	0.5907	1.1122
ATP6V0C	2	0.974	2.2529	0.8708	1.544	1.1997	1.1806	1.1351	1.4003	1.4169	1.2521	1.2713	1.3169	0.8304	0.9033
ATP6V0D1	2	0.7983	1.9541	0.6308	0.9292	0.8142	0.6443	0.7866	1.0126	1.1313	0.8661	1.0219	0.941	0.6505	1.0261
ATP6V0D2	5	0.1009	0	0.0896	0.197	0.7052	0.1414	0.0467	0.055	0.3339	0.0943	0.0401	0	0	0
ATP6V0E1	14	1.0976	1.0658	0.5965	0.8721	0.8453	0.7775	0.8012	0.8783	1.0416	1.3037	0.931	0.8241	0.8038	1.682
ATP6V0E2	12	0.479	0.4314	0.3019	0.7313	0.1229	0.0234	0.2751	0.0427	0.1785	0.0664	0.2863	1.1216	0.2526	0.1729
ATP6V1A	2	0.9546	1.3144	0.7916	1.3103	1.04	0.913	0.8069	0.7578	1.0301	0.4158	0.7089	1.0414	0.7649	0.9042
ATP6V1B1	14	0.0793	0.3192	0.0404	0.1827	0.0543	0.2441	0.063	0.1257	0.1392	0.3343	0.1827	0.1434	0.0573	0.4204
ATP6V1B2	5	0.8119	0.9301	0.679	1.1464	1.511	0.4195	1.0429	0.5666	1.3696	0.1573	1.1226	1.0395	0.7079	0.8738
ATP6V1C1	4	0.5416	0.7073	0.4873	0.9555	0.5814	0.6706	0.4055	0.35	0.5759	0.3311	0.7289	0.2565	0.3355	0.5094
ATP6V1C2	6	0.1904	0.0782	0.0581	0.2088	0	0.5785	0.1162	0.2347	0.153	0.2816	0.2066	0.0209	0.3036	0.1379
ATP6V1D	4	0.8967	1.1849	0.7432	1.4784	1.1215	1.2865	0.4958	1.0004	1.0861	1.0434	1.4263	1.2275	0.8902	0.8797
ATP6V1E1	11	0.5056	0.5791	0.5802	1.2306	0.827	1.0141	0.5818	0.6001	0.9214	0	1.3051	0.8681	1.0327	0.721
ATP6V1E2	11	0.5906	0.1195	0.8809	0.7921	0.2171	0.5981	0.5675	0.1656	0.5007	0.5475	0.937	0.5908	0.5132	0.2814
ATP6V1F	2	1.1489	2.0866	1.0338	1.4277	1.3966	1.0374	1.2339	1.1931	1.4204	1.4335	1.3974	1.1449	1.0192	1.2872
ATP6V1G1	4	1.3853	0.9245	1.5155	1.8188	1.1949	1.7109	1.6305	1.4064	1.429	1.1805	1.5327	1.3868	1.4323	1.1451
ATP6V1G2	12	0.2617	0.6681	0.1757	0.205	0.3381	0.1704	0.4592	0.2595	0.2849	0.286	0.5539	1.2731	0.7233	1.1852
ATP6V1G3	7	0.1749	0.0855	0.1293	0.1077	0.0309	0.1198	0.1842	0	0.131	0.0952	0.1112	0.0243	0.1196	0.1841
ATP6V1H	4	0.554	0.667	0.7025	1.2745	0.7686	0.9292	0.5242	0.5917	0.7573	0.4789	0.7958	0.8067	0.8667	0.4926
ATP7A	5	0.1293	0	0.5151	0.7833	0.8136	0.4108	0.3044	0.3213	0.339	0	0.2847	0.6989	0.8089	0
ATP7B	8	1.0398	1.0187	0.454	0.5352	0.3292	0.2873	0.3644	1.9663	0.5622	0.7254	0.5907	0.6832	0.419	1.0699
ATP8A1	7	0.0542	0.1637	0.5437	0.4522	0	0.0625	0.5824	0.548	0.3864	0.1588	0.3376	0.0421	0.3483	0
ATP8A2	9	0	0	0.5307	0.5357	0.5309	0.0866	0.3165	0	1.6445	0.193	0.1259	0.4136	0.8279	0.0459
ATP8B1	8	0.0537	0.1357	0.239	0.5693	0.3521	0.3065	0.0035	0.6691	0.1541	0	0.1348	0.3133	0.1604	0.0919
ATP8B2	2	0.2805	0.8753	0.2421	0.2099	0.6248	0.0936	0.8088	0.2214	0.4249	0.8571	0.3071	0.6841	0.8454	0.8206
ATP8B3	6	0.3716	0	0.2877	0.6488	0.559	1.6108	0.6008	0	0.3347	1.1328	0.2988	0.0809	0.1769	0.6213
ATP8B4	13	0.7114	0	0.4458	0.0435	1.0457	0	0.9221	0	0.2283	0	0.321	0	1.2405	0
ATP9A	8	0.5335	0.8639	0.7614	0.2977	0.2427	1.0349	0.2888	1.232	0.5963	0.9373	0.9515	1.1675	0.9061	0.6137
ATP9B	8	0.3277	0.1381	0.3508	0.5613	0.5405	0.2897	0.3943	0.6705	0.5053	0.1789	0.4332	0.6059	0.3988	0.4401
ATPAF1	11	0.6171	0.4341	0.5987	0.7118	0.377	0.3586	0.3947	0.4292	0.465	0.1428	0.9135	0.4993	0.6049	0.9022
ATPAF2	2	0.8414	1.5956	0.6189	0.4935	0.3088	0.4611	0.5134	0.5989	0.6435	0.9329	0.7755	0.5759	0.3838	0.9673
ATPBD3	2	0.1865	0.6546	0.1328	0.3886	0.312	0.251	0.0863	0.2453	0.1503	0.2489	0.3601	0.0547	0.0725	0.2647
ATPBD4	4	0.361	0	0.6952	0.9885	0.2669	0.6435	0.2217	0.426	0.3122	0.1462	0.4404	0.3058	0.5374	0.7801
ATPGD1	8	0.1241	0.3339	0.2123	0.1398	0.3421	0.203	0.2976	0.6638	0.1387	0.2284	0.6089	0.1038	0.2046	0.2865
ATPIF1	4	1.7001	1.5102	1.4522	2.2328	1.2288	1.4978	1.6091	1.9945	1.6525	1.2434	2.1813	1.992	1.4704	1.622
ATR	4	0.7548	0.3878	0.889	1.4591	0.7703	1.0841	1.1715	0.688	0.7382	0.7126	0.7234	0.9362	0.6732	0.7099
ATRIP	2	0.2148	0.6745	0.1111	0.6428	0.3891	0.2016	0.2558	0.2257	0.2519	0.1372	0.3731	0.2767	0.3365	0.3109
ATRN	12	0.8858	0.4455	0.7734	0.9925	0.8371	0.4831	0.3477	0.4259	0.5732	0	0.5023	1.0167	0.7313	0.5397
ATRNL1	12	0.1958	0.1249	0.1361	0.2412	0	0	0.082	0	0.0207	0	0.1785	0.5798	0.1558	0
ATRX	13	0.278	0.657	0.6996	0.7051	0.443	0.6023	0.6438	0.3591	0.4756	0.4763	0.6341	0.5512	0.7392	0.0617
ATXN1	5	0.403	0	0.3979	0.309	1.3041	0.5899	0.6274	0.567	0.4412	0.5584	0.691	0.6058	0.5647	0.5305
ATXN10	4	0.7086	0.1328	1.2566	1.6804	0.9339	1.0299	0.7966	0.4527	0.717	0	1.2965	1.1797	1.142	1.3316
ATXN1L	14	0.982	0.5891	0.1891	0.0184	0.1374	0.1763	0.2554	0.528	0.3571	0.5934	0.3311	0.4959	0.1462	2.2623
ATXN2	10	0.593	0.9399	0.3371	0.3647	0.1417	0.4817	0.4572	0.444	0.483	1.3837	0.4315	0.5241	0.5245	0.8634
ATXN2L	10	0.7148	1.3701	0.794	0.9315	0.5979	1.0052	1.1813	0.7825	0.8155	1.7002	0.7482	0.8033	0.4907	1.1972
ATXN3	4	0.4509	0.1789	0.4155	0.8829	0.6143	0.7423	0.5978	0.3043	0.4682	0.4765	0.4923	0.226	0.6768	0.1381
