Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
CSRNP1	3.37E-189	8.56E-185	0.461331582	CXCL8+IL1B+
PLAU	3.14E-187	7.97E-183	0.505323085	CXCL8+IL1B+
MXD1	1.15E-178	2.91E-174	0.28567713	CXCL8+IL1B+
RILPL2	3.15E-172	8.00E-168	0.293424147	CXCL8+IL1B+
WDR1	6.26E-171	1.59E-166	0.791275357	CXCL8+IL1B+
AC245128-3	1.77E-169	4.48E-165	0.663880306	CXCL8+IL1B+
SLA	1.01E-167	2.58E-163	0.294192989	CXCL8+IL1B+
CD93	2.56E-167	6.49E-163	0.612834592	CXCL8+IL1B+
LUCAT1	2.58E-165	6.56E-161	0.479361852	CXCL8+IL1B+
ATP2B1	1.78E-164	4.52E-160	0.440715689	CXCL8+IL1B+
S100A4	1.01E-158	2.57E-154	0.278848804	CXCL8+IL1B+
EGR3	2.61E-158	6.64E-154	0.630176922	CXCL8+IL1B+
GLUL	7.71E-155	1.96E-150	0.300925902	CXCL8+IL1B+
EMD	2.17E-154	5.51E-150	0.62928602	CXCL8+IL1B+
SKIL	4.45E-154	1.13E-149	0.405161769	CXCL8+IL1B+
VPS37B	9.33E-154	2.37E-149	0.57988349	CXCL8+IL1B+
S100A9	5.46E-151	1.39E-146	0.370584415	CXCL8+IL1B+
ETF1	1.24E-147	3.15E-143	0.39513428	CXCL8+IL1B+
SLC2A3	2.52E-147	6.39E-143	0.384215228	CXCL8+IL1B+
ATG2A	3.21E-147	8.15E-143	0.456473162	CXCL8+IL1B+
ITPRIP	3.12E-144	7.93E-140	0.523964837	CXCL8+IL1B+
FMNL1	2.54E-142	6.44E-138	0.534730931	CXCL8+IL1B+
SESN2	1.14E-141	2.89E-137	0.866340599	CXCL8+IL1B+
S100A8	6.83E-140	1.74E-135	0.335050631	CXCL8+IL1B+
PPP1R15A	4.32E-139	1.10E-134	0.269616418	CXCL8+IL1B+
ANPEP	2.06E-137	5.22E-133	0.564529899	CXCL8+IL1B+
DSE	2.32E-137	5.88E-133	0.667541338	CXCL8+IL1B+
DENND5A	2.89E-135	7.33E-131	0.442367296	CXCL8+IL1B+
METRNL	1.58E-134	4.00E-130	0.587581052	CXCL8+IL1B+
PPIF	1.12E-133	2.83E-129	0.419263884	CXCL8+IL1B+
MCEMP1	1.52E-133	3.86E-129	0.566887624	CXCL8+IL1B+
NFE2L2	5.23E-132	1.33E-127	0.400248271	CXCL8+IL1B+
ACTG1	3.44E-129	8.74E-125	0.294653724	CXCL8+IL1B+
CXCL16	2.43E-127	6.18E-123	0.482639113	CXCL8+IL1B+
FGD4	2.63E-127	6.67E-123	0.53440565	CXCL8+IL1B+
SH3BP5	6.57E-126	1.67E-121	0.522640067	CXCL8+IL1B+
NFKB1	1.80E-125	4.56E-121	0.534989531	CXCL8+IL1B+
CKAP4	2.53E-125	6.43E-121	0.457127784	CXCL8+IL1B+
AMPD2	1.15E-124	2.93E-120	0.657537856	CXCL8+IL1B+
ZC3H12A	4.40E-123	1.12E-118	0.610892226	CXCL8+IL1B+
ITGAX	3.41E-122	8.65E-118	0.298368317	CXCL8+IL1B+
TNFRSF1B	3.93E-119	9.99E-115	0.33145361	CXCL8+IL1B+
SNX18	3.80E-115	9.66E-111	0.959820887	CXCL8+IL1B+
S100P	8.34E-114	2.12E-109	0.252732975	CXCL8+IL1B+
TLE3	1.53E-113	3.89E-109	0.481899073	CXCL8+IL1B+
RABGEF1	1.91E-112	4.85E-108	0.560014939	CXCL8+IL1B+
ADM	3.51E-110	8.91E-106	0.642986623	CXCL8+IL1B+
TFDP1	5.18E-108	1.31E-103	0.735699119	CXCL8+IL1B+
ARL5B	1.83E-107	4.64E-103	0.554775999	CXCL8+IL1B+
IRS2	6.31E-107	1.60E-102	0.360596619	CXCL8+IL1B+
TLR4	5.74E-106	1.46E-101	0.560404422	CXCL8+IL1B+
EDN1	4.88E-105	1.24E-100	0.603433538	CXCL8+IL1B+
SOCS3	3.36E-104	8.53E-100	0.632020677	CXCL8+IL1B+
SPI1	5.18E-103	1.32E-98	0.324942765	CXCL8+IL1B+
GK	2.46E-102	6.26E-98	0.505420428	CXCL8+IL1B+
PELI1	8.97E-99	2.28E-94	0.333665884	CXCL8+IL1B+
TNFAIP6	1.00E-98	2.54E-94	0.28181332	CXCL8+IL1B+
TP53INP2	7.81E-96	1.98E-91	0.58648591	CXCL8+IL1B+
DNTTIP2	1.09E-95	2.77E-91	0.529058341	CXCL8+IL1B+
LILRA5	2.14E-94	5.44E-90	0.671906381	CXCL8+IL1B+
MID1IP1	6.59E-93	1.67E-88	0.663092016	CXCL8+IL1B+
SOD2	9.36E-93	2.38E-88	0.315025408	CXCL8+IL1B+
MAPKAPK2	1.01E-92	2.57E-88	0.503203443	CXCL8+IL1B+
AZIN1	5.94E-92	1.51E-87	0.470540577	CXCL8+IL1B+
TAGAP	7.05E-92	1.79E-87	0.348786971	CXCL8+IL1B+
BCL3	1.68E-91	4.25E-87	0.4143042	CXCL8+IL1B+
PPP1CB	1.70E-91	4.33E-87	0.579046605	CXCL8+IL1B+
FOXO3	2.10E-89	5.32E-85	0.423874833	CXCL8+IL1B+
SERINC3	3.82E-89	9.70E-85	0.508703125	CXCL8+IL1B+
SPAG9	8.35E-89	2.12E-84	0.322469982	CXCL8+IL1B+
USP10	1.27E-88	3.22E-84	0.377460047	CXCL8+IL1B+
MIR3945HG	2.03E-87	5.16E-83	0.47350054	CXCL8+IL1B+
GTPBP1	5.66E-87	1.44E-82	0.528596008	CXCL8+IL1B+
RAB21	3.38E-86	8.58E-82	0.424926121	CXCL8+IL1B+
IRAK3	2.68E-83	6.81E-79	0.308349361	CXCL8+IL1B+
IL1R1	3.17E-83	8.04E-79	0.660896165	CXCL8+IL1B+
CSNK1A1	1.21E-81	3.06E-77	0.555939854	CXCL8+IL1B+
C15orf39	1.01E-80	2.56E-76	0.668858802	CXCL8+IL1B+
FCAR	5.39E-80	1.37E-75	0.389282199	CXCL8+IL1B+
APLP2	1.58E-79	4.00E-75	0.340427399	CXCL8+IL1B+
IFNGR2	1.82E-79	4.62E-75	0.265508113	CXCL8+IL1B+
RASSF5	1.07E-76	2.71E-72	0.347757197	CXCL8+IL1B+
NFKB2	1.21E-76	3.08E-72	0.371674739	CXCL8+IL1B+
CD44	3.06E-76	7.77E-72	0.477357953	CXCL8+IL1B+
LPCAT1	1.51E-75	3.83E-71	0.346642607	CXCL8+IL1B+
BRAF	3.60E-73	9.14E-69	0.564859639	CXCL8+IL1B+
TES	1.05E-72	2.66E-68	0.684991313	CXCL8+IL1B+
SYTL3	2.37E-72	6.01E-68	0.649523682	CXCL8+IL1B+
POMP	3.90E-72	9.89E-68	0.321211819	CXCL8+IL1B+
FPR2	1.59E-71	4.05E-67	0.327846118	CXCL8+IL1B+
ARID5A	2.74E-71	6.97E-67	0.32838471	CXCL8+IL1B+
GNG2	4.84E-71	1.23E-66	0.406634367	CXCL8+IL1B+
SELENOK	4.89E-70	1.24E-65	0.311748591	CXCL8+IL1B+
JMJD6	7.42E-69	1.88E-64	0.321187452	CXCL8+IL1B+
SERPINB1	2.72E-66	6.91E-62	0.254828863	CXCL8+IL1B+
FAM177A1	3.10E-66	7.87E-62	0.381403642	CXCL8+IL1B+
AC016831-5	4.59E-66	1.17E-61	0.754835192	CXCL8+IL1B+
NFKBID	6.88E-66	1.75E-61	0.533232257	CXCL8+IL1B+
ECE1	6.01E-64	1.53E-59	0.411592172	CXCL8+IL1B+
PPP1R15B	1.16E-63	2.96E-59	0.36539407	CXCL8+IL1B+
DGAT2	1.02E-61	2.60E-57	0.51151197	CXCL8+IL1B+
STX4	3.82E-60	9.69E-56	0.561031951	CXCL8+IL1B+
HECA	1.89E-59	4.80E-55	0.429609294	CXCL8+IL1B+
TNFRSF1A	2.10E-58	5.32E-54	0.330701515	CXCL8+IL1B+
PADI4	6.62E-58	1.68E-53	0.485550744	CXCL8+IL1B+
ADAM8	6.92E-58	1.76E-53	0.317410618	CXCL8+IL1B+
MYH9	9.79E-58	2.49E-53	0.294381842	CXCL8+IL1B+
LMNB1	1.52E-57	3.85E-53	0.517827754	CXCL8+IL1B+
CXCL1	3.85E-56	9.76E-52	0.379207546	CXCL8+IL1B+
RNF144B	9.08E-56	2.30E-51	0.344500215	CXCL8+IL1B+
FLNA	1.15E-55	2.91E-51	0.379417834	CXCL8+IL1B+
DDIT4	2.53E-55	6.42E-51	0.365328585	CXCL8+IL1B+
BEST1	3.34E-55	8.48E-51	0.345367962	CXCL8+IL1B+
SLC43A2	3.69E-55	9.36E-51	0.396859075	CXCL8+IL1B+
MYD88	5.54E-55	1.41E-50	0.6461078	CXCL8+IL1B+
NABP1	5.98E-55	1.52E-50	0.324274658	CXCL8+IL1B+
NDEL1	7.86E-55	2.00E-50	0.353894764	CXCL8+IL1B+
DHX34	3.97E-54	1.01E-49	0.615112946	CXCL8+IL1B+
STX11	6.81E-54	1.73E-49	0.363133885	CXCL8+IL1B+
IL4R	3.97E-53	1.01E-48	0.435599942	CXCL8+IL1B+
EXOSC4	1.15E-52	2.92E-48	0.259694998	CXCL8+IL1B+
SAMD4B	3.29E-52	8.35E-48	0.378670553	CXCL8+IL1B+
PPP4R2	1.13E-51	2.86E-47	0.420751677	CXCL8+IL1B+
C9orf72	1.65E-51	4.19E-47	0.43955995	CXCL8+IL1B+
CHMP4B	4.52E-51	1.15E-46	0.277882169	CXCL8+IL1B+
AZIN1-AS1	8.45E-51	2.15E-46	0.357116878	CXCL8+IL1B+
RANBP2	9.17E-51	2.33E-46	0.47574386	CXCL8+IL1B+
UBAP1	1.34E-50	3.40E-46	0.349822361	CXCL8+IL1B+
TOM1	1.49E-50	3.77E-46	0.431878849	CXCL8+IL1B+
RYBP	1.99E-49	5.06E-45	0.407179662	CXCL8+IL1B+
AC016831-1	4.92E-49	1.25E-44	0.364258416	CXCL8+IL1B+
BTG2	1.15E-48	2.91E-44	0.27621945	CXCL8+IL1B+
NIBAN1	9.98E-48	2.53E-43	0.568194018	CXCL8+IL1B+
SUPT6H	3.78E-47	9.61E-43	0.486554529	CXCL8+IL1B+
SAT1	9.63E-46	2.44E-41	0.313510347	CXCL8+IL1B+
SPATA13	2.21E-45	5.62E-41	0.463437965	CXCL8+IL1B+
HCAR3	2.81E-45	7.13E-41	0.274038742	CXCL8+IL1B+
LIMK2	6.33E-45	1.61E-40	0.275038351	CXCL8+IL1B+
IRAK2	8.37E-45	2.13E-40	0.508827551	CXCL8+IL1B+
CD82	3.62E-44	9.19E-40	0.35472782	CXCL8+IL1B+
TNIP1	3.36E-43	8.54E-39	0.308845835	CXCL8+IL1B+
ATP2A3	3.38E-43	8.58E-39	0.436843811	CXCL8+IL1B+
HNRNPA3	7.66E-43	1.94E-38	0.294876805	CXCL8+IL1B+
DDX21	2.97E-42	7.53E-38	0.385886514	CXCL8+IL1B+
CSNK1D	4.80E-41	1.22E-36	0.352314179	CXCL8+IL1B+
ZNF281	4.17E-40	1.06E-35	0.43353468	CXCL8+IL1B+
FAM107B	4.95E-40	1.26E-35	0.31805904	CXCL8+IL1B+
TMEM71	7.11E-40	1.81E-35	0.340452683	CXCL8+IL1B+
TOP1	2.01E-39	5.09E-35	0.336528576	CXCL8+IL1B+
AL034397-3	2.70E-39	6.86E-35	0.302941154	CXCL8+IL1B+
PPCDC	4.49E-39	1.14E-34	0.395427806	CXCL8+IL1B+
MAPRE1	5.23E-39	1.33E-34	0.309844731	CXCL8+IL1B+
PIM3	1.33E-38	3.39E-34	0.27177132	CXCL8+IL1B+
MIR22HG	3.66E-37	9.28E-33	0.317121568	CXCL8+IL1B+
MBOAT7	8.71E-37	2.21E-32	0.299084779	CXCL8+IL1B+
ARHGDIA	3.33E-36	8.46E-32	0.35277505	CXCL8+IL1B+
UBALD2	1.64E-35	4.15E-31	0.270292439	CXCL8+IL1B+
ATP11B	4.63E-35	1.18E-30	0.37526475	CXCL8+IL1B+
BZW1	6.50E-35	1.65E-30	0.33534537	CXCL8+IL1B+
BID	1.08E-34	2.73E-30	0.334304886	CXCL8+IL1B+
ANKRD11	2.41E-34	6.11E-30	0.570773954	CXCL8+IL1B+
GNAI3	1.13E-33	2.87E-29	0.278814433	CXCL8+IL1B+
IL1RAP	1.23E-33	3.12E-29	0.258563409	CXCL8+IL1B+
MAP4K4	1.23E-33	3.13E-29	0.297288897	CXCL8+IL1B+
TPD52L2	2.82E-33	7.15E-29	0.289968361	CXCL8+IL1B+
SLC15A3	6.22E-33	1.58E-28	0.387668857	CXCL8+IL1B+
CCNH	1.44E-32	3.65E-28	0.386214838	CXCL8+IL1B+
GNA13	1.48E-32	3.75E-28	0.362884244	CXCL8+IL1B+
ELF2	2.08E-32	5.28E-28	0.31432195	CXCL8+IL1B+
HCAR2	3.36E-31	8.54E-27	0.283532638	CXCL8+IL1B+
MCOLN1	5.73E-31	1.45E-26	0.294207096	CXCL8+IL1B+
PIK3R5	1.24E-30	3.14E-26	0.359378184	CXCL8+IL1B+
CHD2	2.79E-30	7.08E-26	0.321154083	CXCL8+IL1B+
AP1G1	1.25E-29	3.17E-25	0.38638197	CXCL8+IL1B+
B4GALT1	4.88E-29	1.24E-24	0.411365127	CXCL8+IL1B+
BIRC2	9.32E-29	2.37E-24	0.325698201	CXCL8+IL1B+
CR1	5.76E-28	1.46E-23	0.261545132	CXCL8+IL1B+
MPP1	1.14E-27	2.90E-23	0.445756867	CXCL8+IL1B+
TOR1AIP1	1.16E-27	2.95E-23	0.379245474	CXCL8+IL1B+
SUSD6	1.44E-27	3.65E-23	0.396880447	CXCL8+IL1B+
CSGALNACT2	2.81E-26	7.14E-22	0.436475373	CXCL8+IL1B+
VNN3	4.57E-26	1.16E-21	0.271583308	CXCL8+IL1B+
RARA	5.32E-26	1.35E-21	0.45126131	CXCL8+IL1B+
PDLIM7	2.10E-25	5.32E-21	0.333610443	CXCL8+IL1B+
ELL	7.62E-25	1.94E-20	0.253509018	CXCL8+IL1B+
LINC01001	9.06E-25	2.30E-20	0.392875783	CXCL8+IL1B+
ARF4	1.35E-24	3.43E-20	0.269576717	CXCL8+IL1B+
MCTP2	2.00E-24	5.09E-20	0.314571553	CXCL8+IL1B+
CDC42SE1	6.67E-24	1.69E-19	0.325512824	CXCL8+IL1B+
TMCO3	8.13E-24	2.07E-19	0.376801287	CXCL8+IL1B+
H2AFY	1.10E-23	2.78E-19	0.31601115	CXCL8+IL1B+
IQSEC1	2.11E-23	5.37E-19	0.383065406	CXCL8+IL1B+
CCDC71L	1.20E-22	3.05E-18	0.262879218	CXCL8+IL1B+
MIR4435-2HG	1.60E-22	4.06E-18	0.315358434	CXCL8+IL1B+
PTPN12	1.08E-21	2.74E-17	0.28792773	CXCL8+IL1B+
UPP1	1.31E-21	3.32E-17	0.373715485	CXCL8+IL1B+
PIM2	1.33E-21	3.39E-17	0.357053707	CXCL8+IL1B+
PLEKHO2	2.64E-21	6.71E-17	0.364765415	CXCL8+IL1B+
STK40	6.14E-21	1.56E-16	0.319361761	CXCL8+IL1B+
ATXN1	8.89E-21	2.26E-16	0.374246809	CXCL8+IL1B+
RELB	9.11E-21	2.31E-16	0.315102008	CXCL8+IL1B+
PPP1R3B	1.79E-20	4.54E-16	0.509139466	CXCL8+IL1B+
ARIH1	2.05E-20	5.20E-16	0.367859706	CXCL8+IL1B+
MED13L	4.44E-20	1.13E-15	0.275483314	CXCL8+IL1B+
IL18R1	6.48E-20	1.65E-15	0.312011375	CXCL8+IL1B+
TMEM120A	1.24E-19	3.16E-15	0.387057462	CXCL8+IL1B+
SLC45A4	2.54E-19	6.45E-15	0.398940859	CXCL8+IL1B+
ID2	3.01E-19	7.63E-15	0.283032534	CXCL8+IL1B+
SRGN	6.10E-19	1.55E-14	0.293922735	CXCL8+IL1B+
ARRDC3	2.58E-18	6.55E-14	0.420786299	CXCL8+IL1B+
UBXN2B	3.66E-18	9.29E-14	0.46374789	CXCL8+IL1B+
THEMIS2	1.88E-17	4.78E-13	0.31559357	CXCL8+IL1B+
SPTY2D1	4.45E-17	1.13E-12	0.267537849	CXCL8+IL1B+
ABCG1	4.77E-17	1.21E-12	0.436955308	CXCL8+IL1B+
CSF2RA	1.42E-16	3.59E-12	0.405940759	CXCL8+IL1B+
SFT2D1	1.50E-16	3.80E-12	0.344183194	CXCL8+IL1B+
STK17A	7.05E-16	1.79E-11	0.305554404	CXCL8+IL1B+
PURB	1.03E-15	2.61E-11	0.4049018	CXCL8+IL1B+
CD14	1.23E-15	3.12E-11	0.361438558	CXCL8+IL1B+
RALB	7.29E-15	1.85E-10	0.317005573	CXCL8+IL1B+
ADD3	1.49E-14	3.77E-10	0.276072054	CXCL8+IL1B+
C1orf162	1.71E-14	4.35E-10	0.284806505	CXCL8+IL1B+
CHD4	1.93E-14	4.90E-10	0.465712809	CXCL8+IL1B+
RAB1A	3.50E-14	8.89E-10	0.251051194	CXCL8+IL1B+
MAST3	3.69E-14	9.36E-10	0.38085636	CXCL8+IL1B+
FERMT3	4.43E-13	1.13E-08	0.367631854	CXCL8+IL1B+
RGL4	5.62E-12	1.43E-07	0.39549762	CXCL8+IL1B+
CD58	9.72E-12	2.47E-07	0.331786564	CXCL8+IL1B+
YTHDF3	2.46E-11	6.25E-07	0.376763258	CXCL8+IL1B+
RB1CC1	7.22E-11	1.83E-06	0.26757734	CXCL8+IL1B+
SRA1	1.04E-10	2.63E-06	0.313104229	CXCL8+IL1B+
USP9X	2.95E-10	7.50E-06	0.288344775	CXCL8+IL1B+
CLEC4D	9.87E-10	2.51E-05	0.364596011	CXCL8+IL1B+
TUBB4B	3.97E-09	1.01E-04	0.253170067	CXCL8+IL1B+
PSEN1	5.81E-09	1.47E-04	0.351182427	CXCL8+IL1B+
B4GALT5	8.75E-09	2.22E-04	0.360601355	CXCL8+IL1B+
HNRNPH2	2.31E-08	5.87E-04	0.263468822	CXCL8+IL1B+
ACSL4	7.84E-08	1.99E-03	0.32577611	CXCL8+IL1B+
IPMK	4.30E-07	1.09E-02	0.290805587	CXCL8+IL1B+
GRAMD1A	6.58E-07	1.67E-02	0.273757399	CXCL8+IL1B+
MSL3	1.27E-06	3.22E-02	0.298577819	CXCL8+IL1B+
RIOK3	1.41E-06	3.57E-02	0.266092029	CXCL8+IL1B+
SOS2	4.99E-06	1.27E-01	0.350458125	CXCL8+IL1B+
NUP98	5.85E-05	1.00E+00	0.309596215	CXCL8+IL1B+
ARAP1	9.48E-05	1.00E+00	0.25362791	CXCL8+IL1B+
DYSF	1.61E-04	1.00E+00	0.293434728	CXCL8+IL1B+
ENSA	8.97E-03	1.00E+00	0.276713007	CXCL8+IL1B+
CARD8-AS1	2.225074E-308	2.225074E-308	1.304544091	CXCR2+
MRVI1	2.225074E-308	2.225074E-308	1.264312764	CXCR2+
PLEKHO1	2.225074E-308	2.225074E-308	1.180408052	CXCR2+
MOSPD2	2.225074E-308	2.225074E-308	1.135870816	CXCR2+
NCF1C	2.225074E-308	2.225074E-308	1.113005218	CXCR2+
ST3GAL2	2.225074E-308	2.225074E-308	1.106383598	CXCR2+
UBR2	2.225074E-308	2.225074E-308	1.102510259	CXCR2+
P2RY13	2.225074E-308	2.225074E-308	1.083444834	CXCR2+
PPP1R9B	2.225074E-308	2.225074E-308	1.065627538	CXCR2+
ITGAL	2.225074E-308	2.225074E-308	1.063056898	CXCR2+
H3F3AP4	2.225074E-308	2.225074E-308	1.050209882	CXCR2+
MARK2	2.225074E-308	2.225074E-308	1.045598805	CXCR2+
ADAM10	2.225074E-308	2.225074E-308	1.04331564	CXCR2+
ZNF652	2.225074E-308	2.225074E-308	1.016267919	CXCR2+
UIMC1	2.225074E-308	2.225074E-308	1.008436046	CXCR2+
TMSB4XP4	2.225074E-308	2.225074E-308	0.986261704	CXCR2+
ZCCHC6	2.225074E-308	2.225074E-308	0.983674312	CXCR2+
APC	2.225074E-308	2.225074E-308	0.980518537	CXCR2+
STAT5B	2.225074E-308	2.225074E-308	0.96649231	CXCR2+
FCGR3A	2.225074E-308	2.225074E-308	0.96487767	CXCR2+
ZNF33A	2.225074E-308	2.225074E-308	0.951855072	CXCR2+
FAM129A	2.225074E-308	2.225074E-308	0.942289358	CXCR2+
DICER1	2.225074E-308	2.225074E-308	0.925463221	CXCR2+
CXCR2	2.225074E-308	2.225074E-308	0.919216308	CXCR2+
NAMPTP1	2.225074E-308	2.225074E-308	0.917278763	CXCR2+
RERE	2.225074E-308	2.225074E-308	0.916234496	CXCR2+
BICD2	2.225074E-308	2.225074E-308	0.90505718	CXCR2+
TXNIP	2.225074E-308	2.225074E-308	0.904753519	CXCR2+
C3orf62	2.225074E-308	2.225074E-308	0.902976959	CXCR2+
CEP19	2.225074E-308	2.225074E-308	0.892435303	CXCR2+
SEL1L	2.225074E-308	2.225074E-308	0.889266872	CXCR2+
MARF1	2.225074E-308	2.225074E-308	0.886795362	CXCR2+
MTRNR2L12	2.225074E-308	2.225074E-308	0.88612551	CXCR2+
RABGAP1L	2.225074E-308	2.225074E-308	0.882780169	CXCR2+
GPR155	2.225074E-308	2.225074E-308	0.87761698	CXCR2+
TBL1X	2.225074E-308	2.225074E-308	0.869658484	CXCR2+
TOPORS	2.225074E-308	2.225074E-308	0.867207597	CXCR2+
C5AR2	2.225074E-308	2.225074E-308	0.863171227	CXCR2+
TLR8	2.225074E-308	2.225074E-308	0.843201507	CXCR2+
NCOA4	2.225074E-308	2.225074E-308	0.839919618	CXCR2+
PISD	2.225074E-308	2.225074E-308	0.838889747	CXCR2+
SLC40A1	2.225074E-308	2.225074E-308	0.838631177	CXCR2+
RCOR1	2.225074E-308	2.225074E-308	0.83855559	CXCR2+
PHOSPHO1	2.225074E-308	2.225074E-308	0.835604997	CXCR2+
IRF2BPL	2.225074E-308	2.225074E-308	0.829461793	CXCR2+
KDM2A	2.225074E-308	2.225074E-308	0.828844352	CXCR2+
TLR1	2.225074E-308	2.225074E-308	0.818045624	CXCR2+
MPHOSPH8	2.225074E-308	2.225074E-308	0.817005316	CXCR2+
IRF2	2.225074E-308	2.225074E-308	0.81135356	CXCR2+
ATP5E	2.225074E-308	2.225074E-308	0.808340353	CXCR2+
CAMK1D	2.225074E-308	2.225074E-308	0.806868551	CXCR2+
MPZL1	2.225074E-308	2.225074E-308	0.799236109	CXCR2+
PPP4R1	2.225074E-308	2.225074E-308	0.798581531	CXCR2+
CDS2	2.225074E-308	2.225074E-308	0.796111055	CXCR2+
TLR6	2.225074E-308	2.225074E-308	0.787195194	CXCR2+
PIK3CD	2.225074E-308	2.225074E-308	0.783356316	CXCR2+
PELI2	2.225074E-308	2.225074E-308	0.77967836	CXCR2+
MAN1A1	2.225074E-308	2.225074E-308	0.777811399	CXCR2+
NFE2	2.225074E-308	2.225074E-308	0.776150594	CXCR2+
NUDT5	2.225074E-308	2.225074E-308	0.774190043	CXCR2+
AOAH	2.225074E-308	2.225074E-308	0.772245787	CXCR2+
CREB5	2.225074E-308	2.225074E-308	0.771935129	CXCR2+
PPT1	2.225074E-308	2.225074E-308	0.770024569	CXCR2+
ACOX1	2.225074E-308	2.225074E-308	0.764714914	CXCR2+
TNFRSF10C	2.225074E-308	2.225074E-308	0.762820949	CXCR2+
CXCR1	2.225074E-308	2.225074E-308	0.761276713	CXCR2+
RSBN1L	2.225074E-308	2.225074E-308	0.760199731	CXCR2+
FRAT2	2.225074E-308	2.225074E-308	0.756627065	CXCR2+
IKBIP	2.225074E-308	2.225074E-308	0.753040077	CXCR2+
CEP63	2.225074E-308	2.225074E-308	0.75279874	CXCR2+
JAML	2.225074E-308	2.225074E-308	0.74436315	CXCR2+
KIAA1551	2.225074E-308	2.225074E-308	0.743588039	CXCR2+
PECAM1	2.225074E-308	2.225074E-308	0.739432165	CXCR2+
ZNF217	2.225074E-308	2.225074E-308	0.736053047	CXCR2+
CAMK2G	2.225074E-308	2.225074E-308	0.735941603	CXCR2+
STAT6	2.225074E-308	2.225074E-308	0.734929933	CXCR2+
NAIP	2.225074E-308	2.225074E-308	0.734334534	CXCR2+
CDKN1B	2.225074E-308	2.225074E-308	0.733116788	CXCR2+
TMX4	2.225074E-308	2.225074E-308	0.731739876	CXCR2+
AGO4	2.225074E-308	2.225074E-308	0.727281556	CXCR2+
CPPED1	2.225074E-308	2.225074E-308	0.727179685	CXCR2+
SELPLG	2.225074E-308	2.225074E-308	0.724104998	CXCR2+
FLI1	2.225074E-308	2.225074E-308	0.723825196	CXCR2+
ST8SIA4	2.225074E-308	2.225074E-308	0.72172565	CXCR2+
KCNJ2	2.225074E-308	2.225074E-308	0.720535989	CXCR2+
NSD3	2.225074E-308	2.225074E-308	0.716073634	CXCR2+
ARHGAP25	2.225074E-308	2.225074E-308	0.712532516	CXCR2+
GIMAP4	2.225074E-308	2.225074E-308	0.711426986	CXCR2+
SENP6	2.225074E-308	2.225074E-308	0.705933227	CXCR2+
HRH2	2.225074E-308	2.225074E-308	0.704817421	CXCR2+
MAP3K1	2.225074E-308	2.225074E-308	0.700588856	CXCR2+
CTDSP2	2.225074E-308	2.225074E-308	0.699041629	CXCR2+
TRIM56	2.225074E-308	2.225074E-308	0.698623437	CXCR2+
MSL1	2.225074E-308	2.225074E-308	0.696180603	CXCR2+
S1PR4	2.225074E-308	2.225074E-308	0.695882475	CXCR2+
NHSL2	2.225074E-308	2.225074E-308	0.694498095	CXCR2+
LBR	2.225074E-308	2.225074E-308	0.693040106	CXCR2+
SORL1	2.225074E-308	2.225074E-308	0.691841809	CXCR2+
PXN	2.225074E-308	2.225074E-308	0.691576779	CXCR2+
TSPAN2	2.225074E-308	2.225074E-308	0.691447965	CXCR2+
SLCO3A1	2.225074E-308	2.225074E-308	0.688621822	CXCR2+
HIPK3	2.225074E-308	2.225074E-308	0.687096969	CXCR2+
NOTCH1	2.225074E-308	2.225074E-308	0.684892107	CXCR2+
NPEPPS	2.225074E-308	2.225074E-308	0.684891655	CXCR2+
SULT1B1	2.225074E-308	2.225074E-308	0.683472957	CXCR2+
TGFBR2	2.225074E-308	2.225074E-308	0.68316762	CXCR2+
IQGAP2	2.225074E-308	2.225074E-308	0.681806323	CXCR2+
KPNB1	2.225074E-308	2.225074E-308	0.681397767	CXCR2+
ZNF106	2.225074E-308	2.225074E-308	0.681318132	CXCR2+
ACAP2	2.225074E-308	2.225074E-308	0.679665174	CXCR2+
NEK7	2.225074E-308	2.225074E-308	0.677380139	CXCR2+
FAR1	2.225074E-308	2.225074E-308	0.677229322	CXCR2+
LILRB2	2.225074E-308	2.225074E-308	0.676138653	CXCR2+
STAG2	2.225074E-308	2.225074E-308	0.672419582	CXCR2+
ARID4A	2.225074E-308	2.225074E-308	0.672207922	CXCR2+
ARID1A	2.225074E-308	2.225074E-308	0.669172267	CXCR2+
LRP10	2.225074E-308	2.225074E-308	0.663714304	CXCR2+
FGL2	2.225074E-308	2.225074E-308	0.662356799	CXCR2+
FRAT1	2.225074E-308	2.225074E-308	0.661762451	CXCR2+
SLC44A2	2.225074E-308	2.225074E-308	0.65746237	CXCR2+
STXBP3	2.225074E-308	2.225074E-308	0.65679531	CXCR2+
LRMP	2.225074E-308	2.225074E-308	0.656021592	CXCR2+
EVI2A	2.225074E-308	2.225074E-308	0.65511272	CXCR2+
CSF2RB	2.225074E-308	2.225074E-308	0.654745262	CXCR2+
PARP8	2.225074E-308	2.225074E-308	0.654117352	CXCR2+
DNTTIP1	2.225074E-308	2.225074E-308	0.649123908	CXCR2+
SETX	2.225074E-308	2.225074E-308	0.647523053	CXCR2+
FCGR3B	2.225074E-308	2.225074E-308	0.647396981	CXCR2+
TAOK3	2.225074E-308	2.225074E-308	0.646105307	CXCR2+
NIPBL	2.225074E-308	2.225074E-308	0.641718826	CXCR2+
